timestep,step,agent_power_house_1,baseline_power_house_1,power_diff_house_1,house_1_battery_P_bat,house_1_battery_SOC,agent_cost,baseline_cost,cost_saving,reward
2015-11-21 12:15:00,473,-0.11547590630827578,-0.11547590630827578,0.0,,,0.018566196637053476,0.018566196637053476,0.0,0.0
2015-11-21 12:30:00,474,-0.0013428426765718093,-0.0013428426765718093,0.0,,,0.008083313441579306,0.008083313441579306,0.0,0.0
2015-11-21 12:45:00,475,-0.009676884064974883,-0.009676884064974883,0.0,,,9.399898736002667e-05,9.399898736002667e-05,0.0,0.0
2015-11-21 13:00:00,476,-0.03608909285004555,-0.03608909285004555,0.0,,,0.0006773818845482418,0.0006773818845482418,0.0,0.0
2015-11-21 13:15:00,477,-0.04901003067736728,-0.04901003067736728,0.0,,,0.0025262364995031887,0.0025262364995031887,0.0,0.0
2015-11-21 13:30:00,478,-0.07125784760086437,-0.07125784760086437,0.0,,,0.00343070214741571,0.00343070214741571,0.0,0.0
2015-11-21 13:45:00,479,-0.10096173783265652,-0.10096173783265652,0.0,,,0.004988049332060506,0.004988049332060506,0.0,0.0
2015-11-21 14:00:00,480,-0.1517211322442878,-0.1517211322442878,0.0,,,0.007067321648285958,0.007067321648285958,0.0,-0.35129846165923373
2015-08-09 12:45:00,481,0.6996022761073835,0.6996022761073835,0.0,,,-0.11179696879510424,-0.01743943057183764,0.0943575382232666,0.0943575382232666
2015-08-09 13:00:00,482,0.8586363101716932,0.8586363101716932,0.0,,,-0.11399204552214766,-0.013992045522147669,0.09999999999999999,0.09999999999999999
2015-08-09 13:15:00,483,0.7573466655742142,0.7573466655742142,0.0,,,-0.10385914874697702,-0.017172726203433863,0.08668642254354315,0.08668642254354315
2015-08-09 13:30:00,484,0.6761972521056557,0.6761972521056557,0.0,,,-0.015146933311484284,-0.015146933311484284,0.0,0.0
2015-08-09 13:45:00,485,0.47299182974616216,0.47299182974616216,0.0,,,-0.013523945042113114,-0.013523945042113114,0.0,0.0
2015-08-09 14:00:00,486,0.20656525810399984,0.20656525810399984,0.0,,,-0.009459836594923244,-0.009459836594923244,0.0,0.0
2015-08-09 14:15:00,487,0.20644108968181063,0.20644108968181063,0.0,,,-0.001058089677460856,-0.004131305162079997,-0.003073215484619141,-0.003073215484619141
2015-08-09 14:30:00,488,0.19898315422217708,0.19898315422217708,0.0,,,-0.0019741078542061595,-0.004128821793636213,-0.0021547139394300532,-0.0021547139394300532
2015-08-09 14:45:00,489,0.24128787171379082,0.24128787171379082,0.0,,,0.016812320096779333,-0.003979663084443542,-0.020791983181222877,-0.020791983181222877
2015-08-09 15:00:00,490,0.2682623808662935,0.2682623808662935,0.0,,,0.05751082393246725,-0.004825757434275817,-0.06233658136674307,-0.06233658136674307
2015-08-09 15:15:00,491,0.20329431945559165,0.20329431945559165,0.0,,,0.05508707447292966,-0.00536524761732587,-0.06045232209025553,-0.06045232209025553
2015-08-09 15:30:00,492,0.09207537155522778,0.09207537155522778,0.0,,,0.10454507656600308,-0.004065886389111833,-0.10861096295511491,-0.10861096295511491
2015-08-09 15:45:00,493,0.06179011512077276,0.06179011512077276,0.0,,,0.1977938064377684,-0.0018415074311045557,-0.19963531386887295,-0.19963531386887295
2015-08-09 16:00:00,494,0.013618925684462352,0.013618925684462352,0.0,,,0.28313819303731774,-0.0012358023024154551,-0.2843739953397332,-0.2843739953397332
2015-08-09 16:15:00,495,-0.03906835338800875,-0.03906835338800875,0.0,,,0.3478374102084201,-0.00027237851368924705,-0.3481097887221093,-0.3481097887221093
2015-08-09 16:30:00,496,-0.04720233294964867,-0.04720233294964867,0.0,,,0.24616047729802099,0.0027347847371606126,-0.24342569256086038,-0.24342569256086038
