,electrical_baseload_households,thermal_energy_demand_households,electrical_baseload_business,thermal_energy_demand_business,electrical_baseload,thermal_energy_demand,pv_gen_PV_1,hp_cop_HP_Ground,hp_cop_HP_Air,price_el,co2_el,cost,co2,grid_generator_kW,natural_gas_generator_kW,district_heating_generator_kW,grid_feed-in_kW,PV_1_pv_generator_kW,electrical_load_kW,thermal_load_kW,battery_storage_kW,DRL_overflow_kW,grid_demand_link_p0_kW,grid_feed-in_link_p0_kW,battery_charge_p0_kW,battery_discharge_p0_kW,HP_Ground_heat_pump_p0_kW,HP_Air_heat_pump_p0_kW,DRL_overflow_link_bat_charge_p0_kW,DRL_overflow_link_bat_discharge_p0_kW,grid_demand_link_p1_kW,grid_feed-in_link_p1_kW,battery_charge_p1_kW,battery_discharge_p1_kW,HP_Ground_heat_pump_p1_kW,HP_Air_heat_pump_p1_kW,DRL_overflow_link_bat_charge_p1_kW,DRL_overflow_link_bat_discharge_p1_kW,battery_storage_kWh,DRL_overflow_kWh
2015-10-16 01:30:00,0.63660331352025,1.9755906407802257,0.6659988611419501,0.6651807226276132,1.3026021746622,2.640771363407839,0.0,2.7955235627999997,2.101986246,20.18597,332.79,11.340705194766267,186.9651684693015,2.2472450310322003,-0.0,-0.0,0.0,-0.0,1.3026021746622,2.640771363407839,0.0,0.0,2.2472450310322003,-0.0,-0.0,-0.0,0.9446428563682003,-0.0,-0.0,-0.0,-2.2472450310322003,0.0,0.0,0.0,-2.6407713634079997,0.0,0.0,0.0,-4.2632606778212786e-14,1000000.0
2015-10-16 01:45:00,0.6336032979051599,1.994140787642012,0.6715988515659601,0.6714265510090931,1.30520214947112,2.665567338651105,0.0,2.7951714642,2.101722769,20.18597,332.79,11.399193899836794,187.92942513670073,2.258835002694801,-0.0,-0.0,0.0,-0.0,1.30520214947112,2.665567338651105,-1.7053025658242402e-13,0.0,2.258835002694801,-0.0,-0.0,-0.0,0.9536328532228009,-0.0,-0.0,-0.0,-2.258835002694801,0.0,0.0,0.0,-2.665567338652,0.0,0.0,0.0,-0.0,1000000.0
2015-10-16 02:00:00,0.630603282290085,2.0126909345037984,0.67559884472598,0.6776723793905731,1.306202127016065,2.6903633138943714,0.0,2.7948193656000004,2.1014592920000004,20.35257,340.77,11.544116316499332,193.28706483620874,2.2688272422596913,-0.0,-0.0,0.0,-0.0,1.306202127016065,2.6903633138943714,0.0,0.0,2.2688272422596913,-0.0,-0.0,-0.0,0.9626251152436912,-0.0,-0.0,-0.0,-2.2688272422596913,0.0,0.0,0.0,-2.6903633138960004,0.0,0.0,0.0,-0.0,1000000.0
2015-10-16 02:15:00,0.630603282290085,2.086891521950943,0.67919883856999,0.7026556929164929,1.309802120860075,2.7895472148674356,0.0,2.7942914929500002,2.10106431275,20.35257,340.77,11.74396345271043,196.6331733918681,2.3081042743418507,-0.0,-0.0,0.0,-0.0,1.309802120860075,2.7895472148674356,0.0,0.0,2.3081042743418507,-0.0,-0.0,-0.0,0.9983021534818506,-0.0,-0.0,-0.0,-2.3081042743418507,0.0,0.0,0.0,-2.7895472148680005,0.0,0.0,0.0,-0.0,1000000.0
2015-10-16 02:30:00,0.630603282290085,2.1610921093980875,0.6839988303619999,0.7276390064424125,1.3146021126520848,2.8887311158405,0.0,2.7937636203,2.1006693335000004,20.35257,340.77,11.949984948444914,200.08266134849669,2.3485947864952514,-0.0,-0.0,0.0,-0.0,1.3146021126520848,2.8887311158405,0.0,0.0,2.3485947864952514,-0.0,-0.0,-0.0,1.0339926738432517,-0.0,-0.0,-0.0,-2.3485947864952514,0.0,0.0,0.0,-2.8887311158399998,0.0,0.0,0.0,-0.0,1000000.0
2015-10-16 02:45:00,0.6336032979051599,2.235292696845232,0.69199881668202,0.7526223199683322,1.32560211458718,2.987915016813564,0.0,2.7932357476500003,2.1002743542500006,20.35257,340.77,12.187621617149787,204.06149289628448,2.3952987985595504,-0.0,-0.0,0.0,-0.0,1.32560211458718,2.987915016813564,0.0,0.0,2.3952987985595504,-0.0,-0.0,-0.0,1.0696966839715507,-0.0,-0.0,-0.0,-2.3952987985595504,0.0,0.0,0.0,-2.9879150168120003,0.0,0.0,0.0,-0.0,1000000.0
2015-10-16 03:00:00,0.6378033197662799,2.3094932842923765,0.69839880573804,0.7776056334942519,1.33620212550432,3.0870989177866286,0.0,2.792707875,2.0998793750000004,20.138370000000002,368.71,464.39213765470834,8502.4768675254,92.24026326951154,-0.0,-0.0,0.0,-0.0,1.33620212550432,3.0870989177866286,-88.00267401344,0.0,92.24026326951154,-0.0,89.79864695248993,-0.0,1.1054141915176143,-0.0,-0.0,-0.0,-92.24026326951154,0.0,-88.00267401344013,0.0,-3.087098917788,0.0,0.0,0.0,22.00066850336,1000000.0
2015-10-16 03:15:00,0.64680336661152,2.4857196794793452,0.70359879684606,0.8369410031183113,1.35040216345758,3.3226606825976566,0.0,2.79147745665,2.0989588592500006,20.138370000000002,368.71,516.2505870512634,9451.944420113014,102.54068964891664,-0.0,-0.0,0.0,-0.0,1.35040216345758,3.3226606825976566,-98.0,0.0,102.54068964891664,-0.0,100.0,-0.0,1.1902874854606431,-0.0,-0.0,-0.0,-102.54068964891664,0.0,-98.0,0.0,-3.322660682596,0.0,0.0,0.0,46.500646502691495,1000000.0
2015-10-16 03:30:00,0.6642034571789999,2.6619460746663135,0.7023987988980499,0.8962763727423708,1.3666022560770497,3.558222447408684,0.0,2.7902470383,2.0980383435000003,20.138370000000002,368.71,516.7598272212861,9461.268011997015,102.64183788882337,-0.0,-0.0,0.0,-0.0,1.3666022560770497,3.558222447408684,-98.0,0.0,102.64183788882337,-0.0,100.0,-0.0,1.2752356327473788,-0.0,-0.0,-0.0,-102.64183788882337,0.0,-98.0,0.0,-3.558222447408,0.0,0.0,0.0,71.00060000204499,1000000.0
2015-10-16 03:45:00,0.693603610206795,2.838172469853282,0.69559881052603,0.9556117423664302,1.389202420732825,3.7937842122197125,0.0,2.78901661995,2.09711782775,20.138370000000002,368.71,517.3016665008241,9471.18845544693,102.74946115317655,-0.0,-0.0,0.0,-0.0,1.389202420732825,3.7937842122197125,-98.0,0.0,102.74946115317655,-0.0,100.0,-0.0,1.3602587324445607,-0.0,-0.0,-0.0,-102.74946115317655,0.0,-98.0,0.0,-3.7937842122200003,0.0,0.0,0.0,95.50052900144499,1000000.0
